Supporter ID, External ID, Country, State, City, Reference Name, Split Name, Time Sent, Status, Opened, Clicked, Converted, Unsubscribed, First Open Date, Number of Links Clicked, Bounce Category, Bounce Code
00368aeb-f508-4976-b8d8-f7b501ebf7a3,77254522,US,TX,College Station,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
004ecba7-2217-4048-b937-8d9b8dadd8bf,77258757,US,PA,Hershey,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
005d7ac0-a793-4551-b61f-9e5b536df43b,77254909,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_06:08_EDT,0,NULL,
007a4174-80ce-4f10-aeea-09eda0b61a15,77255745,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
0081e853-43a8-459e-a76a-25b0aed3fa67,77256338,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_06:32_EDT,0,NULL,
00fb95b2-f75d-42e9-9676-d35f0c8b73dc,77258685,US,PA,Macungie,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
0108fc74-1558-4b47-aaaa-f4602f27166d,77254405,US,DC,Washington,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
013a35bc-20ec-4fd7-a305-467f1e0c9b8e,77255671,US,MA,Cambridge,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
01417ea5-f17d-49d9-89cb-64ca225f36ab,77258210,US,PA,Bradford,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
0171a68c-b91a-4077-82bd-1dda0e5c6dfc,77255892,US,WA,Seattle,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_03:43_EDT,0,NULL,
01f852e3-6b47-4cc1-8173-e35e40f6c516,77255513,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
0220e292-279a-434d-89ba-59bf5f616d09,77255404,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
022c3ce1-9b4e-4b89-9ca8-556ce4ed23dc,84242434,US,PA,Pittsburgh,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
0238f997-703a-4f7a-9782-1c689c1715fd,77254653,US,MA,Weston,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,TRUE,TRUE,FALSE,2018-08-01_05:32_EDT,1,NULL,
023ca792-30e9-4143-9296-faad798de28d,77256215,US,MD,Silver Spring,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_05:53_EDT,0,NULL,
024096f3-32af-423e-9da5-365d1aa1adbf,77254920,,,,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
025fd463-e6a0-4466-a075-b9555f10a8d8,77254701,US,WA,Kirkland,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,FALSE,FALSE,FALSE,FALSE,,0,NULL,
02919327-24d4-4664-a721-70b9e6aedece,77257822,US,PA,Mountain Top,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_12:38_EDT,0,NULL,
029848d6-c5e6-45f9-aafc-89805a61373e,77256383,US,DC,Washington,Class Experiment Reminder 2,Split A,2018-08-01_03:00_EDT,Delivered,TRUE,FALSE,FALSE,FALSE,2018-08-01_08:03_EDT,0,NULL,
