Supporter ID, External ID, Country, State, City, Reference Name,Split Name, Time Sent, Conversion Date, Activity Type, Activity Name, Activity ID, Amount, Donation Type
cab81e92-aae1-4767-b788-ff056a7cdbee,77255165,US,PA,Murrysville,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_05:27_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$51.69 ,OneTime
0238f997-703a-4f7a-9782-1c689c1715fd,77254653,US,MA,Weston,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_05:34_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$250.00 ,OneTime
598ddf56-7ad7-41b1-976b-24f905df0fb7,77256164,US,CT,Simsbury,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_06:03_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.00 ,OneTime
24fb63f5-dbb8-4c27-901b-77820450f16a,84242447,US,PA,Elizabethtown,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_06:57_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$10.00 ,OneTime
16e2a5e8-737c-4c91-aeee-0053642b6a73,77256193,US,CA,Fremont,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_03:05_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$101.52 ,OneTime
c7a8e3e6-7df3-45bd-83dc-8dd03f53e9e5,84242461,US,PA,Doylestown,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_07:18_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$10.00 ,OneTime
674558b4-ed72-11e6-8ec5-1254aa67e287,,US,NY,New York,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_08:23_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$515.09 ,OneTime
b06d1814-e741-4350-bccb-9bbf3a8c1ab1,,US,MA,Arlington,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_08:59_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$50.00 ,OneTime
f70c8bf4-4ab5-44fe-adbd-0d762ec4e308,84242466,US,PA,Chadds Ford,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_09:29_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.00 ,OneTime
1f6af8b9-b9f6-4b70-ab2c-b2427cf75234,77255304,US,PA,Doylestown,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_09:40_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$103.18 ,OneTime
